fname,speaker,seq,utter,stime,etime,wcount,emotion,senti,key_phrase
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,7,Follow up drive for your practice.,56,60,6,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,8,"It's a mainly Medicaid based program. We have some commercial insurance, but it's mostly Medicaid based. It's an outpatient setting and I tend to see more children in adolescents.",62,80,29,Sad,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,9,"Alright. Urban, suburban, rural.",82,85,4,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,10,I would say urban. I don't know.,85,91,7,Surprise,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,11,"Right now, how many pages would you see in your practice? For all reasons, in a typical month, I.",91,100,19,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,12,Have to do math one second. I met anywhere from 15 to 18 patients a day.,104,114,16,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,13,Alright. And every 20 days times 30.,115,120,7,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,14,"20 days for eight. Yes. So 18 times 2,360.",121,128,9,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,15,"Okay, that's fine. Now of those, how many would be diagnosed with schizophrenia? How many with bipolar one disorder?",129,141,19,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,16,It's very difficult for me to.,144,146,6,Happy,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,17,No.,147,148,1,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,18,I don't have many Schizophrenic patients. Less than 10 a polar true bipolar one. I don't know. 20.,150,169,18,Sad,Positive,many Schizophrenic patients
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,19,"Okay, that's fine. We'll work with those numbers in 10 and 20. Alright.",169,175,13,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,20,Yeah.,175,175,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,21,"The first thing I would like to do is to populate this table. So we'll do schizophrenia. First of the 10 schizophrenia patients, how many would be on oral antipsychotics?",176,192,30,Surprise,Positive,schizophrenia patients
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,22,Right now I have two.,197,200,5,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,23,Alright. And then how many of the 10 would be on long acting injectables?,202,207,14,Fear,Positive,long acting injectables
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,24,"Oh, wait. Sorry. What was the first question? It was on oral.",208,213,12,Surprise,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,25,Yes.,213,214,1,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,26,So that's eight. And then the injectable is two. No.,214,221,10,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,27,"3, sorry, I forgot one patient 1, patience on both.",221,226,10,Sad,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,28,"Most of them are on both. The three patients that take injections are on both. Okay, two of them are on both. One is just on an injection.",228,240,28,Happy,Positive,injections
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,29,"Okay, so let me make sure I've got the number right. Eight of the 10 are orals of one kind or another and three are on injectables.",241,253,27,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,30,I guess it would be nine or on oral because I forgot that they're on both.,256,262,16,Angry,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,31,"Okay. Alright, there we go. Excellent. Now, of the three that are on long acting injectables, how many would be on a bellify main? Tina, how many? One in Vega. How many might be on restate?",262,276,36,Fear,Positive,long acting injectables
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,32,"One on Abilify, zero on in Vega and zero on Arista.",277,282,11,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,33,"Alright, so the other two are on something else? Okay, fine. Same thing for the bipolar one patients of the 20, how many are on oral antipsychotics?",282,293,27,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,34,"Only these three patients of mine are on? No, on oral antipsychotics, probably, like, I don't know, maybe all of them should probably be on oral antipsychotics. So I'm going to go with oral.",297,315,34,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,35,Okay. Are there any bipolars on long acting injectables?,315,320,9,Fear,Positive,long acting injectables
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,36,"Well, some of them, like the ones on the injectables. Two of them have, like, kind of like schet. So effective. So I would say two of them.",322,333,28,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,37,So if your bipolar one patients 2 with the long acting injectables.,334,338,12,Fear,Neutral,long acting injectables
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,38,Yes.,338,339,1,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,39,Okay. And out those two. Any on Abilify maintainer in Vega or aristatus.,340,348,13,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,40,"One on Abilify, zero on in Vegas, zero on Arizona.",348,352,10,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,41,"Okay. Excellent. No, thank you very much.",352,356,7,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,42,You're Welcome.,359,360,2,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,43,At why aren't more patients on the long acting objectable?,360,364,10,Fear,Neutral,more patients
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,44,Why aren't they?,364,366,3,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,45,Yes.,366,367,1,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,46,"Because a lot of them do not want to get injection. They prefer for some reason, to just take a pill every day because mostly they have other pills to take, so it's not necessarily that difficult for them to take the medication. And then others. I see a lot of under 18 and they can't take them.",372,402,58,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,47,"Alright. When you're giving long acting injectable, is that something that you do or do you have staff that does that? I have a medical assistant and that person gives the injections? Yes. What's the most commonly used injection site for a long acting objectable?",403,425,45,Fear,Positive,injections
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,48,We like switch or every month it's the other arm.,428,434,10,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,49,"Okay, so the preference is a Delta ID.",436,439,8,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,50,Yes. But every month we do the opposite.,439,443,8,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,51,And you rotate the injection site then. Yes.,443,446,8,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,52,Sorry. It's been a really long day.,446,449,7,Happy,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,53,"That's okay. Well, thank you for taking the time at the end of the day. I appreciate it.",449,454,18,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,54,You're Welcome.,454,455,2,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,55,"Now, you ever use the Bluto site?",458,464,7,Surprise,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,56,"I don't give them the three that I know that take them all, get them in the deltoid. But maybe one of my previous patients, I think maybe one previous patient had the glue to.",468,486,35,Surprise,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,57,Okay. And do you know if your assistant confirmed injection safety?,487,495,11,Fear,Positive,injection safety
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,58,Confirm it. Yes.,500,502,3,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,59,Okay. How is that done?,502,504,5,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,60,In what aspect?,511,514,3,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,61,"Well, to make sure that a blood vessel hasn't been hit or a nerve touch, something like that in the deltoid or wherever.",514,527,23,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,62,"I don't really know this information. I'm not in there when she does it. I've actually never given an injection because I usually work with children and adolescents. And at my previous job with adults, we didn't give them on site. So this is the first job that I'm at that gives them on site. But I do know that she's been trained to give injections by another medical assistant who has been there for a very long time. But I am not there when she trained.",532,572,87,Fear,Neutral,injections
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,63,And you're typically not in the room when she's given the injection.,573,577,12,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,64,"No, I'm not.",577,578,3,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,65,"Okay, that's fine. Now for for the Abilify maintainer, are you using the dual Chamber syringe or the single use vials?",578,593,21,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,66,"You know, I believe it's the dual Chamber. Yes, it is.",594,603,11,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,67,"You know, what the most commonly used injection site is for the Abilify maintainer in our practice or in general in your practice.",603,614,23,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,68,Deltoid.,616,617,1,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,69,"Deltoid. Alright. Okay. Now what I want to do now is to show you a profile for a new formulation prolong acting injectable. And you're probably aware that over the next six months or so, a number of new formulations of La is are going to come to the market. One of them not the one we're going to talk about, but one of them is a six month formulation pale paradigm.",618,651,72,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,UNK,70,Okay.,651,652,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,71,"We're going to talk about another one. We'll call it Product X one. And when it comes to the market, the six month Pala Pardon formulation to already be there. So I like it to just keep that in mind. We're not going to talk about it now, but at the end of the interview, that becomes somewhat important. Okay. So just keep that in mind.",653,675,66,Surprise,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,72,I'm sorry you were breaking up a little bit. I know that you said the how all the six months? And then there's another one that you didn't name. That will be one.,675,684,33,Surprise,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,73,"I'm sorry. The one we're going to talk about is called X one. Right. And it will come to the marketplace and will be when it comes to marketplace in six months or so, the six month Pale pardon will already be there. So just kind of keep that in in mind. Our discussion. Okay. Yes. The one we're going to talk about in detail is Product X one. Alright. So let me put up the profile for it and take a moment and look at it and then we'll talk about it. Okay.",685,727,94,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,74,"Like, am I supposed to be able to remember all of this?",781,785,12,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,75,"No, I'll leave it up and you can refer to it as you need to.",785,789,15,Happy,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,76,Okay.,789,790,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,77,There's no test.,790,792,3,Happy,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,78,Okay.,792,793,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,79,Okay.,794,794,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,80,Alright.,795,796,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,81,Have you read through it?,796,798,5,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,82,Yeah.,798,798,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,83,Alright. What's your reaction? Your initial reaction to Product X one.,799,804,11,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,84,Minister intravasate. So it's only in the glute? Yes. Sorry. The Product one is just one month.,810,830,17,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,85,It's a monthly injection. Yes.,831,833,5,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,86,"Okay. I mean, it sounds the same as like the Abilify.",834,844,11,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,87,What do you like about X one? What might you dislike.,847,851,11,Angry,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,88,For patients stabilized on Abilify injection? Initialize Abilify auto injection in place of next dose. So that means you just dump straight to it.,861,873,24,Fear,Negative,Initialize Abilify auto injection
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,89,Is that how you would read that.,875,877,7,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,90,In place of next dose? Yes.,879,882,6,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,91,What do you think about that?,883,885,6,Surprise,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,92,"I mean, it sounds like a pretty easy way to switch over.",885,893,12,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,93,Okay.,893,895,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,94,And then it sounds like the for the naive patients can take 14 consecutive days. It sounds like it can be used with all antipsychotics and it doesn't just have to be Abilify. So I guess that would be good because you don't have to switch to a bill size.,896,926,50,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,95,Okay. What else do you like about it?,926,934,8,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,96,All the comparable rates exposed. I like that the needle is never visible to the patient.,939,949,16,Angry,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,97,Okay.,949,950,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,98,"And I don't know, it's pretty straightforward. Seems pretty easy. So that sounds like easy to use, easy to train someone.",951,969,21,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,99,"Anything you might not like about it, any disadvantages.",971,975,9,Angry,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,100,"I mean, I think it's kind of annoying for the patients to have to take the qualify for the current oral antipsychotics for 14 days while they're initiating it. But, you know, because the whole reason is that they're not really the reason why I put them on injection is because they're not really compliant, so just not sure. I mean, I hope they would be able to be compliant for two weeks, but that's a little bit of an issue.",979,1010,81,Sad,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,101,Alright. Anything else?,1011,1013,3,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,102,"No, I think that's good.",1014,1017,5,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,103,Okay. What's the most important benefit for this product? From your perspective.,1018,1027,12,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,104,"To get them stabilized and their to live life, we have a better quality of life. And if they're not compliant, this is much easier for them to be compliant with.",1030,1049,31,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,105,"If you think about this from your patient perspective, what's the most important benefit for your schizophrenia patient? What's the most important benefit for your bipolar one patient?",1051,1062,28,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,106,"They could probably get it while they're already at the appointment, so they wouldn't have to necessarily schedule a different time. They would have to come in for the appointment anyway. So it wouldn't have to be like another, because a lot of them require transportation and things like that. So I think that makes it easy for them. And just the whole point to me is that if they're not compliant, not able to take the medication on a daily basis, it's easy. It's easier to get them to do it one month at a time and to have the appointment at the same time. And we can keep up and follow up with them because we know if we give the injection, we know when they're receiving it and things of that nature.",1066,1122,135,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,107,Let me show you the auto injector. So Here's slide describing the auto injector for product X one. Please take a moment and read through this and then we'll talk about it.,1124,1138,32,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,108,Okay.,1160,1161,1,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,109,What's your reaction to this information?,1163,1166,6,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,110,"It seems a lot easier than the dual Chamber. I like that they don't see the needle. I like that less likely to have an accident with the needle because you don't really see it. And it sounds like it. It's not like it's not exposed, like it says pre and post injection. So Let's potential for harm to the patient or the person giving the injection.",1168,1201,67,Angry,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,111,"Anything else that you would like about the auto injector, anything you might not like about it.",1205,1210,17,Angry,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,112,Potential for non sharp. So does that mean it needs to be put in a sharp container or does not.,1214,1222,20,Angry,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,113,It appears you can get away without using a sharp container for this since the needle is not exposed.,1224,1230,19,Angry,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,114,"I mean, that's always good in case this never happens, but I'm just thinking out of the box in case we can't find the sharp box or it's full or anything of that sort. So it just sounds like it's just a little easier and quicker.",1232,1249,46,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,115,Alright. Anything else you like? Anything you might dislike about it? I.,1253,1257,12,Angry,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,116,"Don'T really see much that I dislike. No, I think it looks better than the injections. I currently see.",1260,1271,19,Surprise,Positive,injections
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,117,"If you think about the advantages of Product one auto injector and disadvantages, what's the from your point of view, from the practices point of view, what's the major advantage?",1273,1287,30,Surprise,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,118,"The ease of use like to administer it? Sounds like you don't need to do all the prep that sometimes involved with the dual Chamber and it's just pretty simple and takes two to 3 seconds. Sounds pretty, pretty easy. So I think that doesn't take as much time because the medical assistants are also pretty busy.",1289,1319,57,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,119,"Okay, what might the impact of that be on your practice? Something that doesn't take as much time?",1319,1327,18,Angry,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,120,"Well, sometimes, you know, our medical assistant needs to do paperwork, needs to do vitals, needs to answer phone calls. So if it doesn't take as long as the others, that means she can move quickly on to other things that she's required to do for the day.",1331,1351,48,Happy,Positive,other things
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,121,"Right. And from the patient's perspective, what's the major advantage?",1352,1358,10,Happy,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,122,It's fast. They don't see the needle and the risk of any accident or problem is basically taken away by this device.,1359,1374,22,Angry,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,123,"Disadvantages, from the patient's perspective.",1377,1379,5,Happy,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,124,"They might not have seen it before, so explaining it to them might be a little hard. Like if they don't literally see the needle, I don't know if they're going to understand it. If they're schizophrenic, they might be used to something and they need to see the needle and things like that. I don't really see another disadvantage of it. It's just they probably have never seen it. So we might have to explain it the first time and they might need to kind of get used to it.",1384,1422,91,Angry,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,125,What would you say to them? How would you describe it? How would you present it? What might you emphasize.,1422,1430,20,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,126,"That it's faster, you won't see the needle, but it still injects it and still gives you the same amount of medication and drug can be seen, need over turn and that it's quicker. I think that is good for them as well.",1437,1463,43,Surprise,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,127,Would you send it differently to your schizophrenia patient compared to your bipolar one patient?,1465,1470,15,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,128,"Depends on the severity of the patient and what they're able to comprehend. But Yes, some might need a little more understanding or sorry explaining.",1472,1485,25,Sad,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,129,Okay. How receptive do you think your patience would be to product X one and the auto injector.,1485,1495,18,Surprise,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,130,"As long as they understand it, that it's the same thing? I think they'd be really receptive to it.",1498,1504,19,Surprise,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,131,With having X one available in the auto injector with with that reach your likelihood of offering this product to your patients.,1508,1520,22,Fear,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,132,"Probably a little bit just because it seemed blood constipated. Oh, my God. Sorry. Complicated. And it seems like it's faster and, you know, sometimes they're scared of seeing the needles, so they don't need to see that. So I think it would possibly increase the idea of giving it to them this way. I just think it's more clean, more easy. It doesn't take time to mix the stuff and get it correct and draw it up and things like that, which all can you know, they could be Aunty wanting to get out. And I just think it it just seems more clean and effective.",1528,1575,107,Surprise,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,133,"Alright. Now, the Center column describes this product has an Im injection into the dorsal glute muscle reaction to to that.",1576,1592,21,Surprise,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,134,"Okay. I think because it's, you know, quicker and they don't really see the needle. It might be easier to get them to go ahead and do this. But I've noticed that it's not really the site that necessarily bothers them, just the needle itself. Like they don't like getting shot. Okay, so I don't, you know, I mean, they might be a little more embarrassed by having to do it there, but, you know, hopefully it's done way would they feel comfortable? But I don't think if someone doesn't mind getting a shot and they realized that it could be helpful, I don't know if the location of the shot would make such a difference, whether. I mean, if they don't want shops in general, then that what makes it difficult.",1598,1670,132,Angry,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,135,"Alright. So so other than that, I guess a reluctance to get any shot. What barriers would you anticipate for a dorso gluteal injection site?",1671,1684,25,Fear,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,136,"What barriers do I see a barrier and for the patient accepting it? I mean, if they are embarrassed or self conscious, then maybe they don't want it at that site and would prefer it in their arm. So that could be a disadvantage, or if they don't necessarily believe what you're going to do and they might be scared of it. I don't know. I just. I think maybe those that don't want it up the site because of where it is.",1697,1733,83,Fear,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,137,Okay. What percentage of your patients might feel that way? Where where the location might present a problem? I.,1734,1743,19,Angry,Negative,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,138,Know one for sure.,1745,1746,4,Fear,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,139,This a schizophrenia patient or bipolar.,1748,1751,6,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,140,One patient very schizophrenic.,1751,1753,4,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,141,So as a percentage then of your schizophrenic patients we're looking at then one of.,1754,1761,15,Happy,Neutral,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,A,142,"Yeah, I don't think the other would necessarily like he's the one that comes to mind.",1762,1769,16,Surprise,Positive,none
1915_Almanac_NPPA_2132_LA_W-TDI_USA_27042020_5PM_EST.m4a,B,143,"All right. If you think about this restriction that the injection has to be given endorse a gluteal site, what impact does that have on your staff administering the injection? Is there an impact? It doesn't matter to the staff? I.",1770,1794,41,Angry,Negative,none
